Date,User,Number of likes,Tweeted from,Tweets
2022-10-30 14:49:29+00:00,Arab_Democracy,16,Twitter for iPhone,"@europaendlos @AnnaJerzewska @vivamjm @HMRCgovuk Every time we Export one (1)pallet ( POAO Goods) to the EU we have to pay €680 to the French side + EU VAT 6% the UK side £669 ( Haulier , EHC , UK customs declaration,T1= £1272.21.We Stopped Exporting To the EU . Brexit is a disasters ! UK economy is Doomed https://t.co/4vS3rjFJIv"
2022-10-30 14:36:48+00:00,sonofr,69,Twitter for iPhone,"“Virtually all the economic arguments in favour of Brexit looked specious at best and cynically misleading at worst. Brexit is a kind of original sin that sits at the heart of today’s UK economy.”
It’s now a rotting corpse at the heart of the economy. It stinks."
2022-10-30 14:35:22+00:00,justinbellinger,10,Twitter Web App,"Those economies, except Italy, have fully recovered their economies to pre-pandemic levels, the UK has not, and by some way. Brexit has shrunk the UK economy (we used to be 90% of German economy, now 70% according to The Bank of England), so you're simply not looking very hard. https://t.co/Rl2O5Xq1gP"
2022-10-30 14:34:45+00:00,JSkeaping,0,Twitter for Android,"@sjsuth I'm not being snide here, I genuinely don't see how Starmer will be able to do that. The fundamental problem with the UK economy is soaring inequality, as highlighted by @garyseconomics, and the concentration of wealth and power in fewer and fewer hands."
2022-10-30 14:30:06+00:00,EugeneWinters7,0,Twitter Web App,"@OxfordDiplomat Putin would have been so happy,when he read her plans to ruin the UK economy in 10 days."
2022-10-30 14:26:06+00:00,fahadalameri73,2,Twitter for Android,"@Dr_Ulrichsen I am guessing he doesn't cover the UK Economy to see how vested and reliant the UK economy is on Qatari Investments. Every time he arrives in Heathrow, the Shard, Harrods, 30% of the electricity, 10 Billion Pounds just in new Qatari Investments in 2022. Truly unbelievable"
2022-10-30 14:20:25+00:00,TashuGudokin,0,Twitter Web App,"@saranut_david Well, it's unscrupulous politicians who are the real problems --- *not* #capitalism 

Even traditional, old type of capitalism would consider these immigrants as ""Human Capital"". They can contribute to the dwindling #UKeconomy

#Socialism #4IR #NewWorldOrder"
2022-10-30 14:20:02+00:00,andrevanes,0,Twitter for iPhone,@DCBMEP It’s a #whataboutism a invalid argument. Project Fear is about damage to UK economy not about EU economy
2022-10-30 14:19:36+00:00,srcoxlive,0,Twitter for Android,Can someone please explain how illegal immigration benefits the UK economy because it appears to be a policy supported by successive governments?
2022-10-30 14:18:24+00:00,1ppsp_pcs_p_p__,0,Twitter Web App,"An article in The Atlantic on the UK economy.

“Take out Greater London – and the UK is one of 
the poorest countries in Western Europe.”

https://t.co/1DEyAeUhOJ"
2022-10-30 14:17:02+00:00,MikeAmmo,0,Twitter for Mac,"Given the state of the UK economy and the collapse of the British Pound, Broncos v. Jags is an appropriate export. #NFLUK"
2022-10-30 14:16:51+00:00,PattiYo52545375,0,Twitter Web App,"🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤Live news updates from June 13: US stocks enter bear market, UK economy unexpectedly shrinks"
2022-10-30 14:16:29+00:00,theBirdsEyeOne,1,Twitter Web App,"@KEdge23 Lol Kedge, prove that the UK economy thrives more under the Tories."
2022-10-30 14:16:14+00:00,peter_boring,0,Twitter Web App,"So ... because Refugee Hotels etc etc is actually ""UK Foreign Aid money spent in the UK"", that money re-enters the UK Economy, and is thus ""#VelocityOfMoney""-ed IN THE UK, so helps to support the UK Economy.
Result is Refugees in the UK cost the UK LESS than ""true Foreign Aid"""
2022-10-30 14:15:52+00:00,RussellThen,0,Twitter for Android,@unsettled1975 @sidr1971 @TerryReintke It put the trade border between GB and NI instead of on the actual border between NI and ROI. Enhances the all island economy and reduces the UK economy. Keeps NI in EU SM and under EU law rather than fully brexiting with GB. Can't get anymore in favour of nationalists than that
2022-10-30 14:13:33+00:00,DrDSahdev,0,Twitter for Android,@RishiSunak @SuellaBraverman @SkyNews @BBCNews The thing is why should we also pay for everyone else ESPECIALLY for mistakes of a PM who lived fairly tailes and has done enough damage to the UK economy and now refuses to part way with her 115000 yearly pension for being a PM?
2022-10-30 14:10:31+00:00,OrRite_Then,0,Twitter Web App,@andrew_lilico @BBCRosAtkins @BBCiPlayer It's destroyed countless UK businesses overseas market because of new and high shipping/custom costs post Brexit. How is that not damaging to the UK economy. https://t.co/EDghfNHat4
2022-10-30 14:07:04+00:00,DJT1Million,0,Twitter Web App,@Baskerville_13 @lusafar @BurtchaellJohn @guardian How much did Truss 'n Kwartengs little Tufton St inspired policy adventure cost the UK economy? How much has the stupid Brexit nonsense cost the UK economy? #BrexitReality
2022-10-30 14:04:48+00:00,geoffh33,0,Twitter for iPhone,"That ‘Coalition of Chaos’;

• Truss phone hacked
• Suella Braverman security risk
• COP27 Sunak out, Johnson in
• Qatar gifts to MPs
• EU laws binned
• Austerity 2.0 
• Therese Coffey scandal
• UK Economy shredded by Truss mini-budget

And #RishiSunak’s been PM 6 days https://t.co/qRC4gfJ694"
2022-10-30 14:04:07+00:00,SilentErnest,0,Twitter for Android,"@1302aa @RShivshankar It had everything to do with your comment.

You mentioned Indian economic growth and implied it was suffering.

And I posted a link from the World Economic Forum evidencing economy growth and overtaking the UK economy."
2022-10-30 13:55:37+00:00,IronRampant,9,Twitter Web App,@johnpcorr @darrenpjones It'll take 7 years to get fracking up and running enough to impact the UK economy and it will still be sold at market prices. You can throw on another 10 years if we have to listen to locals challenging fracking in their area.  It's a waste of time in the UK.
2022-10-30 13:52:03+00:00,ShobaVazirani,35,Twitter for iPhone,@julesnewaddy @Momo80385953 Their wedding generated £1bn for UK economy. H served for 10 years and worked for HM all his life. M spent just 2 years as a senior royal and raised ££ with her Hubb cookbook and Smartworks. They even paid £2.4m for their cottage to be renovated and now lease it. They owe 0.
2022-10-30 13:48:46+00:00,FatboyKerr,0,Twitter for Android,In 2016 UK was 90% of German economy. In 2022 UK economy was 70% of German economy. The result of 12 years of Tory rule and Brexit. https://t.co/Z9clhpclC3
2022-10-30 13:45:49+00:00,zippyhalfsister,0,Twitter Web App,@PippaCrerar So…Johnson and Case suppressed details of Liz Truss’s phone hack by the Russians so she could become PM and then she immediately crashed the UK economy. Is that right? 🙄
2022-10-30 13:36:39+00:00,PopUpComedy,0,Twitter for Android,"@woolyhat2000 @theSNP @NicolaSturgeon Unionist ignores the point about mismanagement of the UK economy by mentioning a nurse telling a patient to go home ! 
Brings up Ferry's cos he heard about them on the BBC so there must be a story there"
2022-10-30 13:31:06+00:00,Co1Mary,0,Twitter Web App,"@JackKer28084195 @Zaireeka0 @londix1 @wyavia @nazirafzal It was a global crash, the UK isn't significant enough to influence every economy in the world. Although Truss  only took 44 days to do lasting damage to the UK economy."
2022-10-30 13:30:09+00:00,BernieRandall8,3,Twitter Web App,"@BrugesGroup Ironically, trying to ignore the cost of Brexit to the UK economy is frankly childish and selfish.
People in the UK have woken up, they are not your 'fools' anymore.
#ToriesOut115 
#GeneralElectionNow"
2022-10-30 13:29:06+00:00,pascalharris,0,Twitter Web App,@KEdge23 You’re too young to remember the last time the UK economy was ruined by Labour. You can remember the last time that the Conservatives ruined the economy or our reputation in the world. And yet you’re so gaslit by right wing propaganda you believe up is down.
2022-10-30 13:22:13+00:00,rich_corless,0,Twitter Web App,"@KEdge23 how's life treating you sponging off your partners tax payer funded benefits Kev?

Tories have tanked the UK economy - Fact
Tories are economically illiterate - Fact
Tories always fiddle the figures - Fact"
2022-10-30 13:12:28+00:00,FagerlundMr,0,TweetDeck,"@DA__writes @afneil One of the key Brexit dividends being able to more accurately quantify the size of the UK economy. Smaller job to count, see ;-)"
2022-10-30 13:11:57+00:00,simona_com,0,OS X,Ros Atkins on... Brexit and the UK economy - BBC News https://t.co/bGgKD0VAj6
2022-10-30 13:10:23+00:00,FXspacetrader,0,Twitter for iPad,"#Brexit bill. And the ongoing lost trade. The Elephant in the room that all ignore. The plain reality. As the UK economy splutters and spits, eventually grinding to halt. #Tory chaos as they drown the Moribund Nation in sleaze and corruption. https://t.co/Tg8SgIiLAK"
2022-10-30 13:09:17+00:00,1humana1,0,Twitter Web App,@JustStop_Oil they are further destroying the uk economy
2022-10-30 13:07:00+00:00,batbarf101,0,Twitter for iPhone,@BrugesGroup Purely blaming global headwinds for the impact on the UK economy post Brexit requires a staggering level of PR…but that’s what you guys are for right? Spinning lies 🤪
2022-10-30 13:02:43+00:00,1973GJWEcon,0,Scoop.it,What impact is Brexit having on the UK economy? - BBC News | @scoopit https://t.co/mM8G9aGEO0 #Brexit #post-Brexit #costsofBrexit #economicgrowth #investment @TheIFS @OBR_UK
2022-10-30 13:01:26+00:00,BobFlemming19,0,Twitter for iPhone,"@DCBMEP Oh the complete irony of letting an unelected bureaucrat, Frosty McFrostface make important decisions directly affecting the UK economy, and it ends being a total fk-up disaster. 
Would be funny if it wasn’t actually important. 
#ToryIncompetence 
#ToryShambles"
2022-10-30 13:00:28+00:00,RadarsTrend,0,WordPress.com,Gilt yields fall as Rishi Sunak wins Tory leadership race but investor Guy Hands warns UK economy is ‘doomed’ https://t.co/PeMaBwKPRq
2022-10-30 13:00:18+00:00,Goodlittlebee,0,Twitter for iPhone,"@lefthooklyrics @IAmPoliticsGirl Try looking at the rest of the world, inflation is a worldwide problem right now and our rate is one of the lowest. UK PM tried GOP plan, basically crashed UK economy in under 6 wks. Stick with Biden."
2022-10-30 13:00:09+00:00,grauniaddict,0,Twitter Web App,@afneil You have to be pretty obsessive Andrew not to acknowledge that Brexit has had and is having a highly damaging effect on the UK economy.
2022-10-30 12:58:33+00:00,gazabrown,1,Twitter for Android,The UK economy has grown 4.4%. Eurozone 4.3%. Germany 1.7%. France 4.2%.
2022-10-30 12:56:36+00:00,craignicol,0,Twitter for Android,"Polls: Sunak is great for the economy
Reality: his budget means the treasury will be making a loss on oil

If you can't make money on oil, you shouldn't be in charge of a piggy bank, let alone the UK economy.

https://t.co/Aqm0oBglr0"
2022-10-30 12:55:53+00:00,gaspsnotguns,2,Twitter Web App,@BrugesGroup So you believe that Brexit has had no  negative effect on the UK economy? Really?
2022-10-30 12:55:45+00:00,queenofswords6,11,Twitter Web App,"@Rob_Kimbell Free trade with the EU earned the UK economy far, far more than we paid into it as a Member State. You know that very well, so why are you suggesting it was costly? It wasn't. We can all see the state of post-Brexit Britain now."
2022-10-30 12:54:30+00:00,PaulBrown9,0,Twitter for iPhone,"@pompeyhedge @NicholasTyrone Btw, “my figures” show the UK economy is growing. But not at the same rate as other comporable countries."
2022-10-30 12:54:22+00:00,Fitness4London,5,Twitter for Android,@Bexbel @July_Sv @MerrynSW You're a Brexit supporter. The colossal Brexit scam has cost the UK economy tens of billions. Yet you complain about a sum of money that is tiny in comparison. Absolutely insane.
2022-10-30 12:54:04+00:00,mialp,0,Twitter Web App,"🤔 probably the safest pairs of hands with UK economy were Brown &amp; Darling. This flies in the face of rational analysis. Ah...
'Voters choose Sunak’s Tories over Labour to repair economy, new poll reveals' https://t.co/1uoR1JBe2J"
2022-10-30 12:52:22+00:00,BazAtheist,0,Twitter for iPhone,"@yellen83 @FareemV @jan_sabin @GBNEWS Multiple reasons 
- English speaking 
- established communities 
- UK economy is in the bin so much that cash in hand jobs are plentiful that they can utilise."
2022-10-30 12:51:42+00:00,DbAshby,1,Twitter for Android,"@BrugesGroup @Facts4euOrg Facts are facts, as a nation the UK economy was damaged by #Brexit and only 1 thing can repair some of that damage and thats the single Market"
2022-10-30 12:49:33+00:00,UKOFFSTAGE_,1,Twitter for Android,"can Rishi Sunak fix the UK economy ? 

#CostOfLivingCrisis #UK #Economy #RishiSunak #RishiSunakPM https://t.co/YzCSdxssk0"
2022-10-30 12:48:51+00:00,Anton13579,0,Twitter for iPad,"@TheABD We close our steel plant, stop using coal &amp; buy Chinese steel made in a more polluting plant.

Employees take lower paid service economy jobs and are forced to buy cars EV made in China… (#MG) 

Energy from Russia 

Balance of payments is falling off a cliff…

Uk economy sinks."
2022-10-30 12:45:19+00:00,blepharon,4,Twitter Web App,"@Aiannucci @pennypitstop62 @RishiSunak What it HAS to be, is sensible economic policy. There is no black hole that HAS to be filled. We need gov borrowing for investment, taxes to restrict inflation &amp; retain money in UK economy, &amp; interest rate policy that doesn't bust businesses &amp; mortgage holders. .@MMTpodcast"
2022-10-30 12:37:48+00:00,andy_webbo,0,Twitter Web App,"@BrugesGroup No, trying to pretend that brexSHit hasn't significantly hurt UK economy and Govt finances (plus your tuftonomics impact) is the *real*ignorance you peddle to the thick/gullible brexwits.
p.s. most fbpe are not London-based - stop your hackneyed guano-spouting, elliot-lackeys"
2022-10-30 12:33:59+00:00,MikeCashman1,5,Twitter for iPhone,"BBC: “ Brexit, in its current form is one of the things constraining the growth of the UK economy” @BBCRosAtkins - So presumably that means that pro-Brexit people could be considered to be part of the supposed “anti-growth coalition” @16MillionRising https://t.co/7lI5unRyKU"
2022-10-30 12:33:13+00:00,manav14433850,0,Twitter Web App,"@CarolineLucas May be he is busy sorting out UK economy.
It is not necessary to pledge something new every year."
2022-10-30 12:29:13+00:00,reoharrison,2,Twitter for Android,The truth will come out in the end - that objectively Brexit has been a long term disaster for the UK economy. Which is why it was almost universally opposed by experts and economists. Why don't you tweet about that @afneil? https://t.co/1xutLdnf2J
2022-10-30 12:27:47+00:00,IchikaPlus1,2,Twitter for iPhone,@nexta_tv If all that money flows into UK economy that’s good. There may be some people who rather see him in court tho.
